id,ts_iso8601,source_file,gap_prev_global_sec,gap_prev_within_file_sec,session_id_within_file,session_key,gap_prev_within_session_sec,session_start_ts_iso8601,session_end_ts_iso8601,session_row_count,session_duration_sec,session_median_gap_sec,session_p90_gap_sec,cadence_family,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
18621226,2025-11-10T04:07:25.838000+0200,flic_button_data_export_20251110.csv,1.53,1.53,2,flic_button_data_export_20251110.csv::2,1.53,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-64,,60.376927,23.108718,0101000020E61000008D7C5EF1D41B37405DFDD8243F304E40,,,,,,,,,,,
18621227,2025-11-10T04:07:27.687000+0200,flic_button_data_export_20251110.csv,1.849,1.849,2,flic_button_data_export_20251110.csv::2,1.849,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-79,,60.37685,23.108913,0101000020E6100000F81BEDB8E11B3740B1BFEC9E3C304E40,,,,,,,,,,,
18621228,2025-11-10T04:07:29.208000+0200,flic_button_data_export_20251110.csv,1.521,1.521,2,flic_button_data_export_20251110.csv::2,1.521,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-62,,60.376657,23.109399,0101000020E61000001137A792011C37409D67EC4B36304E40,,,,,,,,,,,
18621229,2025-11-10T04:07:30.724000+0200,flic_button_data_export_20251110.csv,1.516,1.516,2,flic_button_data_export_20251110.csv::2,1.516,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-63,,60.376544,23.109678,0101000020E610000037177FDB131C3740A5C0029832304E40,,,,,,,,,,,
18621231,2025-11-10T04:07:32.271000+0200,flic_button_data_export_20251110.csv,1.547,1.547,2,flic_button_data_export_20251110.csv::2,1.547,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-61,,60.376432,23.10994,0101000020E6100000B2852007251C37407D957CEC2E304E40,,,,,,,,,,,
18621232,2025-11-10T04:07:33.798000+0200,flic_button_data_export_20251110.csv,1.527,1.527,2,flic_button_data_export_20251110.csv::2,1.527,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-64,,60.376323,23.110199,0101000020E61000004A0D6D00361C3740C6DD205A2B304E40,,,,,,,,,,,
18621258,2025-11-10T04:28:52.086000+0200,flic_button_data_export_20251110.csv,1278.288,1278.288,3,flic_button_data_export_20251110.csv::3,,2025-11-10T04:28:52.086000+0200,2025-11-10T04:29:54.781000+0200,37,62.695,1.5354999999999999,2.3274999999999997,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-57,,60.204471,23.113718,0101000020E61000006EF7729F1C1D37407EFD101B2C1A4E40,,,,,,,,,,,
18621259,2025-11-10T04:28:53.614000+0200,flic_button_data_export_20251110.csv,1.528,1.528,3,flic_button_data_export_20251110.csv::3,1.528,2025-11-10T04:28:52.086000+0200,2025-11-10T04:29:54.781000+0200,37,62.695,1.5354999999999999,2.3274999999999997,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-62,,60.204427,23.113763,0101000020E6100000AE7E6C921F1D3740AFB5F7A92A1A4E40,,,,,,,,,,,
18621260,2025-11-10T04:28:55.797000+0200,flic_button_data_export_20251110.csv,2.183,2.183,3,flic_button_data_export_20251110.csv::3,2.183,2025-11-10T04:28:52.086000+0200,2025-11-10T04:29:54.781000+0200,37,62.695,1.5354999999999999,2.3274999999999997,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-68,,60.204379,23.113781,0101000020E6100000FBE769C0201D37409E7E5017291A4E40,,,,,,,,,,,
18621261,2025-11-10T04:28:58.068000+0200,flic_button_data_export_20251110.csv,2.271,2.271,3,flic_button_data_export_20251110.csv::3,2.271,2025-11-10T04:28:52.086000+0200,2025-11-10T04:29:54.781000+0200,37,62.695,1.5354999999999999,2.3274999999999997,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-66,,60.204316,23.113758,0101000020E61000008BA8893E1F1D37405706D506271A4E40,,,,,,,,,,,
